,geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010,SAT_Total,SAT_Math,SAT_ERW
754,"c(-120.839, 38.6763)",95619,1700.0,6,6017031504.0,61207007957,1.35466,1.23098,0.074940003,1.17483,1.07435,1.01467,1.1766,0.009,0.853,0.056,0.037390001,0.1635,0.1617,1073.2492896504145,529.0663628041699,541.3146670953578
755,"c(-118.044, 34.0362)",91733,3738.0,6,6037433802.0,61212000439,1.07514,0.65293998,0.01698,0.53525001,0.79022002,0.76122999,0.49048001,0.003,0.17,0.454,0.0070199999,0.1189,0.9554,980.9540402516677,497.6570628681422,481.8322585358032
756,"c(-118.0225, 34.0939)",91731,3738.0,6,6037432401.0,61212001363,1.43279,0.74404001,0.058169998,0.72079003,1.11838,0.97964001,0.71252,0.003,0.17,0.454,0.01792,0.1295,0.9332,1023.293686047377,515.2970090049847,522.3896005549508
757,"c(-118.0338, 34.0643)",91731,3738.0,6,6037433200.0,61212001364,1.2761101,0.54977,0.057659999,0.38690999,0.82821,0.71744001,0.44135001,0.003,0.17,0.454,0.01792,0.1156,0.9531,998.3821856188189,491.8641129715989,500.5891247763733
758,"c(-118.0116, 34.0539)",91732,3738.0,6,6037434001.0,61212001365,0.99037999,0.43362001,0.02067,0.37369999,0.68347001,0.65355998,0.38646999,0.003,0.17,0.454,0.00134,0.083,0.9713,953.3176156078955,480.84868046338227,474.7246379582405
759,"c(-118.0718, 34.0848)",91770,3737.0,6,6037432202.0,61212001366,1.60897,0.83996999,0.070270002,0.74410999,1.28435,0.97925001,0.73676002,0.005,0.093,0.188,0.00758,0.1939,0.9137,1041.7890579928326,522.5399938261808,533.8987651441754
760,"c(-118.0886, 33.984)",90660,3740.0,6,6037500800.0,61218001372,1.09122,0.83403999,0.02117,0.73167002,0.83844,0.81327999,0.74831003,0.003,0.2,0.643,0.0046399999,0.1432,0.943,974.7364848380953,500.3099346988648,496.3931829105978
761,"c(-118.4143, 33.9248)",90245,3760.0,6,6037620101.0,61221001388,1.78397,1.52359,0.064269997,1.52836,1.64328,1.65106,1.52714,0.016,0.722,0.083,0.0266,0.5256,0.3061,1192.3453760539253,588.0171796503682,599.9883520157392
762,"c(-121.372776, 38.401066)",95624,6710.0,6,6067009309.0,61233001398,1.53398,1.4999599,0.043340001,1.40951,1.2603,1.22611,1.38832,0.087,0.458,0.105,0.016009999,0.1778,0.2533,1102.393794701423,542.7243260796777,549.490724901616
763,"c(-121.429868, 38.452873)",95823,6709.0,6,6067009610.0,61233001414,0.99839997,0.63113999,0.022700001,0.52209002,0.66093999,0.62102002,0.58328998,0.186,0.313,0.143,0.0061699999,0.1201,0.836,938.9411250454135,473.70758727294367,460.23697812437734
